tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
250,6400,0,0,9094.51,276024.20,14.27,500,247.16,250,0,0,0,6400,0,0,0,4,32,0,32,1546,6473,3219,0,693,1588851,227375.60
500,6400,0,0,18377.09,557455.30,14.26,500,496.88,500,0,0,0,6400,0,0,0,4,32,0,32,1549,6488,3237,0,693,3188833,241913.90
750,6400,0,0,27697.59,834720.40,14.28,500,746.79,750,0,0,0,6400,0,0,0,4,32,0,32,1551,6491,3242,0,693,4788828,242125.50
1000,6399,0,1,36998.55,1117383.90,14.28,500,996.82,1000,0,1,0,6400,0,0,1320,4,32,0,32,1551,6496,3248,0,693,6388823,243774.20
1250,6400,0,0,46357.87,1397376.80,14.28,500,1246.32,1250,0,0,0,6400,0,0,0,4,32,0,32,1553,6497,3250,0,693,7988820,250358.80
1500,6400,0,0,55701.18,1665476.50,14.28,500,1496.32,1500,0,0,0,6400,0,0,0,4,32,0,32,1553,6497,3250,0,693,9588820,245654.00
1750,6400,0,0,65027.96,1947102.80,14.28,500,1746.32,1750,0,0,0,6400,0,0,0,4,32,0,32,1553,6497,3250,0,693,11188820,229391.60
2000,6400,0,0,74361.24,2214386.80,14.20,500,1996.01,2000,0,0,0,6400,0,0,1320,4,32,0,32,1554,6497,3251,0,693,12788819,249138.40
2250,6400,0,0,83702.47,2481803.40,14.20,500,2246.01,2250,0,0,0,6400,0,0,0,4,32,0,32,1554,6497,3251,0,693,14388819,243151.10
2500,6400,0,0,93070.44,2755505.10,14.20,500,2496.01,2500,0,0,0,6400,0,0,0,4,32,0,32,1554,6497,3251,0,693,15988819,231036.10
2750,6400,0,0,102420.26,3021065.30,14.20,500,2745.60,2750,0,0,0,6400,0,0,0,4,32,0,32,1554,6498,3252,0,693,17588818,234253.60
3000,6400,0,0,111754.65,3284176.40,14.20,500,2995.60,3000,0,0,0,6400,0,0,1320,4,32,0,32,1554,6498,3252,0,693,19188818,246601.10
3250,6400,0,0,121116.90,3558072.20,14.20,500,3245.28,3250,0,0,0,6400,0,0,0,4,32,0,32,1555,6499,3254,0,693,20788816,243022.60
3500,6400,0,0,130476.08,3826110.10,14.20,500,3495.28,3500,0,0,0,6400,0,0,0,4,32,0,32,1555,6499,3254,0,693,22388816,235832.50
