tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
1,225,,0,c8ebdfc8786d6db9,novel
1,226,184,1,4d3be084d3467d01,reproduction
1,227,,0,4d3be084d3467d01,novel
1,228,,0,490f19a8608cd38e,novel
1,229,,0,91d5417593e31f3a,novel
1,230,,0,40c0c668478ecf90,novel
1,231,,0,778c93a8b040cf3f,novel
1,232,31,1,ab386567e02eec27,reproduction
1,233,,0,8b06111c1065c302,novel
1,234,,0,02adb206c4669135,novel
1,235,,0,c92078a86d4b9aaa,novel
1,236,,0,8c35480beaa0c993,novel
1,237,,0,1a72f22fe8b6c0ed,novel
1,238,,0,f551b597dcbb2bda,novel
1,239,,0,778c93a8b040cf3f,novel
1,240,,0,778c93a8b040cf3f,novel
1,241,,0,778c93a8b040cf3f,novel
1,242,,0,0dbb8fc158bf9a22,novel
1,243,,0,4731276121ba09f7,novel
1,244,,0,82b3dcb707aae47f,novel
1,245,,0,82b3dcb707aae47f,novel
1,246,,0,68cd36666b042be7,novel
1,247,,0,658fd1c323190802,novel
1,248,109,1,40c0c668478ecf90,reproduction
1,249,,0,da929c66eb3e88c1,novel
1,250,,0,da929c66eb3e88c1,novel
1,251,22,1,7542ea0b4f491692,reproduction
1,252,72,1,02474071b194a0ab,reproduction
1,253,,0,9d035a44cc4ad2fd,novel
1,254,,0,dbff9a9fb2ffa5fd,novel
1,255,,0,658fd1c323190802,novel
1,256,,0,68cd36666b042be7,novel
1,257,70,1,778c93a8b040cf3f,reproduction
1,258,,0,778c93a8b040cf3f,novel
1,259,,0,cb3976286ea16de4,novel
1,260,,0,fd5482a816aabfd7,novel
1,261,,0,c1d7404ce193b759,novel
1,262,,0,778c93a8b040cf3f,novel
1,263,,0,778c93a8b040cf3f,novel
1,264,,0,0d0acc91f51aa7fe,novel
1,265,,0,c92078a86d4b9aaa,novel
1,266,,0,40c0c668478ecf90,novel
1,267,,0,778c93a8b040cf3f,novel
1,268,7,1,da929c66eb3e88c1,reproduction
1,269,,0,778c93a8b040cf3f,novel
1,270,,0,778c93a8b040cf3f,novel
1,271,,0,bc5e842065e10df6,novel
1,272,147,1,39a1ba31fc01d45a,reproduction
1,273,,0,778c93a8b040cf3f,novel
1,274,,0,4d3be084d3467d01,novel
1,275,,0,c1603a0363c1f96a,novel
1,276,,0,c3cad67cd0489bef,novel
1,277,211,1,bcd21b07e6f7e5b9,reproduction
1,278,169,1,bcd21b07e6f7e5b9,reproduction
1,279,,0,cb3976286ea16de4,novel
1,280,2,1,82b3dcb707aae47f,reproduction
1,281,160,1,1fe283a99f3aa7b2,reproduction
1,282,161,1,5a92204f11af7b76,reproduction
1,283,,0,da929c66eb3e88c1,novel
1,284,13,1,b15b589baa67932d,reproduction
