tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
100,900,0,0,3648.21,87326.90,14.82,499,97.60,100,0,0,0,900,0,0,0,3,4,0,4,294,852,471,0,98,88376,36086.10
200,900,0,0,7394.96,182395.10,14.82,499,197.60,200,0,0,0,900,0,0,0,3,4,0,4,294,852,471,0,98,178376,33068.30
300,900,0,0,11135.18,268754.10,14.82,499,297.35,300,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,268375,39229.70
400,900,0,0,14815.11,352343.10,14.82,499,397.35,400,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,358375,35337.60
500,900,0,0,18555.66,447404.40,14.82,499,497.35,500,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,448375,32912.40
600,900,0,0,22309.73,524060.80,14.82,499,597.35,600,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,538375,36859.30
700,900,0,0,26059.11,611343.70,14.82,499,697.35,700,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,628375,35272.90
800,900,0,0,29815.67,691930.60,14.82,499,797.35,800,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,718375,35105.60
900,900,0,0,33516.67,785054.40,14.82,499,897.35,900,0,0,0,900,0,0,0,3,4,0,4,294,853,472,0,98,808375,34248.40
1000,900,0,0,37281.68,874171.00,14.82,499,997.35,1000,0,0,0,900,0,0,222,3,4,0,4,294,853,472,0,98,898375,36141.30
