tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,97,73,730,58.08,170.20,14.59,487,1.00,1,5,3,0,33,21,50,0,1,4,4,0,5,50,3,0,21,33,1133.30
2,208,67,625,37.65,217.90,28.95,495,1.41,2,39,12,0,89,9,84,0,2,4,3,1,44,134,15,0,30,122,2198.50
3,363,60,477,36.25,1021.35,29.06,496,1.70,3,36,36,0,201,10,155,0,3,4,3,1,80,289,51,0,40,323,5326.00
4,538,46,316,43.21,1066.05,34.83,500,2.02,4,60,61,0,361,16,176,0,4,4,2,2,140,465,112,0,56,684,10087.15
5,658,31,211,47.90,1071.75,33.62,497,2.47,5,45,106,0,537,16,181,0,4,4,1,3,185,646,218,0,72,1221,8271.20
6,737,19,144,63.21,1225.40,38.83,496,3.01,6,44,119,0,657,13,154,0,5,4,1,3,229,800,337,0,85,1878,15066.69
7,775,8,117,86.60,1305.60,47.96,496,3.68,7,33,112,0,737,12,117,0,5,4,1,3,262,917,449,0,97,2615,20531.13
8,780,5,115,114.15,1990.10,42.94,499,4.46,8,18,112,0,775,4,99,0,5,4,1,3,280,1016,561,0,101,3390,21926.19
9,808,0,92,137.26,2239.60,40.05,498,5.13,9,25,85,0,780,7,88,0,5,4,2,2,305,1104,646,0,108,4170,21863.89
10,819,0,81,168.03,2724.50,37.11,500,5.89,10,26,80,0,808,0,65,0,5,4,0,4,331,1169,726,0,108,4978,26711.93
11,825,0,75,192.83,3104.00,33.48,496,6.66,11,27,75,0,819,0,54,0,5,4,0,4,358,1223,801,0,108,5797,21468.59
12,845,0,55,219.52,3478.60,34.64,499,7.37,12,16,54,0,825,0,58,0,5,4,0,4,374,1281,855,0,108,6622,26410.17
13,845,0,55,264.59,4474.00,32.26,496,8.25,13,11,55,0,845,0,44,0,5,4,0,4,385,1325,910,0,108,7467,38085.79
14,859,0,41,296.98,5468.40,31.52,496,9.01,14,10,40,0,845,0,44,0,5,4,0,4,395,1369,950,0,108,8312,31524.45
15,866,0,34,331.72,5503.50,29.52,495,9.85,15,10,34,0,859,1,31,0,5,4,1,3,405,1400,984,0,109,9171,32166.60
16,875,0,25,371.41,5618.60,33.52,495,10.66,16,5,25,0,866,1,29,0,5,4,1,3,410,1429,1009,0,110,10037,37713.76
17,872,0,28,409.99,5651.70,31.45,498,11.62,17,5,28,0,875,0,20,0,5,4,0,4,415,1449,1037,0,110,10912,32525.37
18,883,0,17,449.20,5767.80,30.52,498,12.44,18,4,17,0,872,1,24,0,5,4,1,3,419,1473,1054,0,111,11784,39133.85
19,877,0,23,491.97,5884.90,31.08,498,13.47,19,2,23,0,883,0,15,0,5,4,0,4,421,1488,1077,0,111,12667,34811.30
20,883,0,17,531.68,6879.30,32.58,499,14.33,20,5,17,0,877,0,18,0,5,4,0,4,426,1506,1094,0,111,13544,38021.35
21,887,0,13,569.18,6913.40,32.67,499,15.22,21,0,13,0,883,0,17,0,5,4,0,4,426,1523,1107,0,111,14427,35388.96
22,886,0,14,613.04,6948.50,31.33,499,16.20,22,2,14,0,887,0,11,0,5,4,0,4,428,1534,1121,0,111,15314,38287.20
23,884,0,16,655.11,7278.80,30.96,499,17.15,23,4,16,0,886,0,10,0,5,4,0,4,432,1544,1137,0,111,16200,35964.59
24,890,0,10,692.34,7807.80,31.09,498,17.98,24,2,10,0,884,0,14,0,5,4,0,4,434,1558,1147,0,111,17084,37064.25
25,890,0,10,739.62,8344.80,31.66,498,18.95,25,2,10,0,890,0,8,0,5,4,0,4,436,1566,1157,0,111,17974,42082.70
26,889,0,11,791.95,8873.80,31.62,498,19.90,26,1,11,0,890,0,9,0,5,4,0,4,437,1575,1168,0,111,18864,45777.95
27,887,0,13,845.93,9401.80,32.13,498,20.82,27,2,13,0,889,0,9,0,5,4,0,4,439,1584,1181,0,111,19753,46294.33
28,893,0,7,885.78,9937.80,31.37,498,21.66,28,2,7,0,887,0,11,0,5,4,0,4,441,1595,1188,0,111,20640,40660.20
29,891,0,9,929.68,10466.80,30.02,498,22.67,29,0,9,0,893,0,7,0,5,4,0,4,441,1602,1197,0,111,21533,37348.60
30,890,0,10,973.28,11000.80,29.33,498,23.65,30,2,10,0,891,0,7,0,5,4,0,4,443,1609,1207,0,111,22424,37870.76
31,898,0,2,1018.29,11531.10,30.07,498,24.41,31,1,2,0,890,0,9,0,5,4,0,4,444,1618,1209,0,111,23314,48209.35
32,894,0,6,1073.79,12065.10,28.81,498,25.49,32,0,6,0,898,0,2,0,5,4,0,4,444,1620,1215,0,111,24212,45544.90
33,896,0,4,1115.24,12592.10,28.81,498,26.40,33,2,4,0,894,0,4,0,5,4,0,4,446,1624,1219,0,111,25106,39281.12
34,895,0,5,1159.51,13120.10,28.75,498,27.40,34,1,5,0,896,1,3,0,5,4,1,3,447,1627,1224,0,112,26002,38509.90
35,897,0,3,1205.92,13649.10,28.72,498,28.33,35,0,3,0,895,0,5,0,5,4,0,4,447,1632,1227,0,112,26897,43944.40
36,896,0,4,1261.56,14184.10,28.51,498,29.32,36,0,4,0,897,0,3,0,5,4,0,4,447,1635,1231,0,112,27794,48651.00
37,893,0,7,1314.81,14714.40,27.71,498,30.29,37,1,7,0,896,0,3,0,5,4,0,4,448,1638,1238,0,112,28690,43764.95
38,896,0,4,1357.17,15246.40,27.54,498,31.17,38,3,4,0,893,0,4,0,5,4,0,4,451,1642,1242,0,112,29583,41900.40
39,893,0,7,1408.26,15783.40,28.04,498,32.22,39,0,7,0,896,0,4,0,5,4,0,4,451,1646,1249,0,112,30479,41552.07
40,900,0,0,1449.35,16315.40,28.24,498,32.97,40,4,0,0,893,0,3,0,5,4,0,4,455,1649,1249,0,112,31372,46843.90
41,894,0,6,1501.00,16446.70,27.80,498,34.12,41,0,6,0,900,0,0,0,5,4,0,4,455,1649,1255,0,112,32272,37475.90
42,897,0,3,1545.32,16980.70,28.65,498,34.98,42,0,3,0,894,0,6,0,5,4,0,4,455,1655,1258,0,112,33166,44259.45
43,897,0,3,1594.76,17519.40,27.69,498,35.97,43,1,3,0,897,0,2,0,5,4,0,4,456,1657,1261,0,112,34063,44344.30
44,897,0,3,1652.92,18047.40,27.95,498,36.96,44,0,3,0,897,0,3,0,5,4,0,4,456,1660,1264,0,112,34960,52174.30
45,897,0,3,1708.36,18588.10,27.41,498,37.95,45,2,3,0,897,0,1,0,5,4,0,4,458,1661,1267,0,112,35857,49725.80
46,899,0,1,1753.75,19511.88,27.71,498,38.86,46,0,1,0,897,0,3,0,5,4,0,4,458,1664,1268,0,112,36754,44223.70
47,895,0,5,1819.47,21006.78,27.33,498,40.01,47,0,5,0,899,0,1,0,5,4,0,4,458,1665,1273,0,112,37653,51800.16
48,896,0,4,1860.92,21653.68,28.14,498,40.90,48,0,4,0,895,0,5,0,5,4,0,4,458,1670,1277,0,112,38548,38958.40
49,894,0,6,1920.16,22297.58,27.21,498,41.96,49,1,6,0,896,0,3,0,5,4,0,4,459,1673,1283,0,112,39444,49243.40
50,898,0,2,1967.21,22126.78,28.00,498,42.70,50,1,2,0,894,0,5,0,5,4,0,4,460,1678,1285,0,112,40338,49934.60
51,894,0,6,2020.70,22777.98,27.69,498,43.80,51,1,6,0,898,0,1,0,5,4,0,4,461,1679,1291,0,112,41236,39949.15
52,896,0,4,2066.72,22605.18,27.90,498,44.58,52,0,4,0,894,0,6,0,5,4,0,4,461,1685,1295,0,112,42130,45276.47
53,900,0,0,2109.44,22883.38,28.28,498,45.38,53,0,0,0,896,0,4,0,5,4,0,4,461,1689,1295,0,112,43026,46707.70
54,895,0,5,2177.61,23530.28,27.93,498,46.57,54,0,5,0,900,0,0,0,5,4,0,4,461,1689,1300,0,112,43926,50468.80
55,899,0,1,2227.05,24210.28,28.71,498,47.36,55,1,1,0,895,0,4,0,5,4,0,4,462,1693,1301,0,112,44821,53161.20
56,899,0,1,2288.59,25727.38,28.17,498,48.36,56,1,1,0,899,0,0,0,5,4,0,4,463,1693,1302,0,112,45720,55316.60
57,900,0,0,2334.95,26317.28,28.14,498,49.31,57,1,0,0,899,0,0,0,5,4,0,4,464,1693,1302,0,112,46619,44014.00
58,898,0,2,2390.78,26143.48,28.19,498,50.36,58,0,2,0,900,0,0,0,5,4,0,4,464,1693,1304,0,112,47519,45468.70
59,899,0,1,2449.08,26793.68,28.18,498,51.30,59,1,1,0,898,0,1,0,5,4,0,4,465,1694,1305,0,112,48417,54800.40
60,900,0,0,2504.71,27436.58,28.15,498,52.24,60,0,0,0,899,0,1,0,5,4,0,4,465,1695,1305,0,112,49316,52514.50
61,897,0,3,2560.77,27264.78,27.76,498,53.31,61,0,3,0,900,0,0,0,5,4,0,4,465,1695,1308,0,112,50216,42773.43
62,898,0,2,2608.37,27915.98,28.26,498,54.23,62,2,2,0,897,0,1,0,5,4,0,4,467,1696,1310,0,112,51113,45305.20
63,899,0,1,2661.50,28339.40,27.71,498,55.17,63,0,1,0,898,0,2,0,5,4,0,4,467,1698,1311,0,112,52011,50375.70
64,900,0,0,2708.32,28989.40,27.68,498,56.11,64,1,0,0,899,0,0,0,5,4,0,4,468,1698,1311,0,112,52910,44795.50
65,899,0,1,2757.78,29639.40,27.71,498,57.14,65,0,1,0,900,0,0,0,5,4,0,4,468,1698,1312,0,112,53810,41755.15
