LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=201 res=69 empty=630 births=24 deaths_e=2 deaths_a=0 interactions=77 consumed=25 novel=89 inj=4/4 blocked=0 dE=3055.7 energy=60.0/186.8 size=14.9/496 age=1.0/1 gen=1
tick=2 pop=428 res=54 empty=418 births=63 deaths_e=17 deaths_a=0 interactions=196 consumed=19 novel=181 inj=4/4 blocked=0 dE=8979.9 energy=49.1/1113.5 size=30.1/500 age=1.4/2 gen=2
tick=3 pop=639 res=37 empty=224 births=69 deaths_e=84 deaths_a=0 interactions=427 consumed=17 novel=226 inj=0/4 blocked=4 dE=13192.7 energy=53.6/2110.4 size=44.9/500 age=1.8/3 gen=3
tick=4 pop=731 res=19 empty=150 births=39 deaths_e=111 deaths_a=0 interactions=639 consumed=18 novel=164 inj=0/4 blocked=4 dE=25445.8 energy=81.6/2120.0 size=46.8/500 age=2.4/4 gen=3
tick=5 pop=768 res=9 empty=123 births=26 deaths_e=119 deaths_a=0 interactions=731 consumed=11 novel=130 inj=1/4 blocked=3 dE=25304.2 energy=110.6/2708.2 size=44.3/500 age=3.1/5 gen=3
tick=6 pop=812 res=4 empty=84 births=25 deaths_e=84 deaths_a=0 interactions=768 consumed=6 novel=103 inj=1/4 blocked=3 dE=26536.5 energy=137.3/3406.8 size=41.6/500 age=3.8/6 gen=3
tick=7 pop=816 res=2 empty=82 births=16 deaths_e=78 deaths_a=0 interactions=812 consumed=2 novel=66 inj=0/4 blocked=4 dE=28590.4 energy=171.7/3983.7 size=41.0/499 age=4.6/7 gen=3
tick=8 pop=828 res=1 empty=71 births=16 deaths_e=58 deaths_a=0 interactions=816 consumed=1 novel=54 inj=0/4 blocked=4 dE=25843.2 energy=200.4/4684.3 size=36.6/499 age=5.4/8 gen=3
tick=9 pop=851 res=0 empty=49 births=17 deaths_e=42 deaths_a=0 interactions=828 consumed=1 novel=48 inj=0/4 blocked=4 dE=31724.9 energy=232.3/4692.9 size=35.2/499 age=6.1/9 gen=3
tick=10 pop=851 res=0 empty=49 births=7 deaths_e=45 deaths_a=0 interactions=851 consumed=0 novel=38 inj=0/4 blocked=4 dE=36720.2 energy=275.4/5380.8 size=31.9/499 age=7.0/10 gen=3
tick=11 pop=870 res=0 empty=30 births=10 deaths_e=28 deaths_a=0 interactions=851 consumed=0 novel=37 inj=0/4 blocked=4 dE=36928.5 energy=311.9/5956.7 size=31.1/499 age=7.8/11 gen=3
tick=12 pop=874 res=0 empty=26 births=9 deaths_e=26 deaths_a=0 interactions=870 consumed=0 novel=21 inj=0/4 blocked=4 dE=37455.5 energy=353.3/5966.3 size=27.5/499 age=8.7/12 gen=3
tick=13 pop=884 res=0 empty=16 births=10 deaths_e=16 deaths_a=0 interactions=874 consumed=0 novel=16 inj=0/4 blocked=4 dE=36605.4 energy=390.7/6541.2 size=29.3/499 age=9.6/13 gen=4
tick=14 pop=885 res=0 empty=15 births=4 deaths_e=15 deaths_a=0 interactions=884 consumed=0 novel=12 inj=0/4 blocked=4 dE=36057.0 energy=431.0/7231.1 size=28.3/499 age=10.6/14 gen=4
tick=15 pop=877 res=0 empty=23 births=3 deaths_e=23 deaths_a=0 interactions=885 consumed=0 novel=12 inj=0/4 blocked=4 dE=36290.9 energy=476.3/7244.4 size=28.0/499 age=11.5/15 gen=4
tick=16 pop=888 res=0 empty=12 births=5 deaths_e=12 deaths_a=0 interactions=877 consumed=0 novel=18 inj=0/4 blocked=4 dE=42553.0 energy=518.3/7268.7 size=27.1/499 age=12.3/16 gen=4
tick=17 pop=889 res=0 empty=11 births=2 deaths_e=11 deaths_a=0 interactions=888 consumed=1 novel=10 inj=1/4 blocked=3 dE=39605.5 energy=562.3/7293.0 size=27.7/499 age=13.3/17 gen=4
tick=18 pop=891 res=0 empty=9 births=2 deaths_e=9 deaths_a=0 interactions=889 consumed=0 novel=9 inj=0/4 blocked=4 dE=39610.4 energy=605.5/7695.8 size=28.9/499 age=14.2/18 gen=4
tick=19 pop=892 res=0 empty=8 births=2 deaths_e=8 deaths_a=0 interactions=891 consumed=0 novel=7 inj=0/4 blocked=4 dE=37388.1 energy=646.7/8172.6 size=28.4/499 age=15.2/19 gen=4
tick=20 pop=890 res=0 empty=10 births=0 deaths_e=10 deaths_a=0 interactions=892 consumed=0 novel=8 inj=0/4 blocked=4 dE=44130.7 energy=697.8/8235.3 size=28.7/499 age=16.2/20 gen=4
tick=21 pop=892 res=0 empty=8 births=2 deaths_e=8 deaths_a=0 interactions=890 consumed=0 novel=8 inj=0/4 blocked=4 dE=40266.1 energy=741.4/8795.2 size=27.8/499 age=17.1/21 gen=4
