LambLife starting: 50x50 grid, seed=2, ticks=10000
tick=100 pop=2499 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=3183.2/50897.3 size=11.4/499 age=98.1/100 gen=4
tick=200 pop=2500 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=2499 consumed=0 novel=0 energy=6427.2/102948.1 size=11.4/499 age=197.8/200 gen=4
tick=300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=9671.6/152688.5 size=11.4/499 age=297.8/300 gen=4
tick=400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=12951.3/207999.3 size=11.4/499 age=397.7/400 gen=4
tick=500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=16232.4/255473.9 size=11.4/499 age=497.5/500 gen=4
tick=600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=19472.0/312140.6 size=11.4/499 age=597.2/600 gen=4
tick=700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=22752.7/359917.2 size=11.4/499 age=697.2/700 gen=4
tick=800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=26020.2/413106.9 size=11.4/499 age=797.2/800 gen=4
tick=900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=29278.8/464912.3 size=11.4/499 age=896.9/900 gen=4
=== Diversity @ tick 1000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=16799.2 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=35308.7 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=13805.2 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=33754.8 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=38211.5 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=16485.2 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=42086.6 center=(20,24)
